2026-05-16 23:37:20,680 | INFO     | train | STEP 8: EVALUASI MODEL ...
2026-05-16 23:37:21,585 | INFO     | train | ========================================
2026-05-16 23:37:21,585 | INFO     | train | AKURASI TEST SET : 96.37%
2026-05-16 23:37:21,585 | INFO     | train | F1 SCORE          : 96.37%
2026-05-16 23:37:21,586 | INFO     | train | PRECISION         : 96.38%
2026-05-16 23:37:21,587 | INFO     | train | RECALL            : 96.37%
2026-05-16 23:37:21,587 | INFO     | train | ========================================
2026-05-16 23:37:21,623 | INFO     | train | 
              precision    recall  f1-score   support

     negatif     0.9639    0.9477    0.9557       535
      netral     0.9715    0.9557    0.9635       857
     positif     0.9554    0.9834    0.9692       785

    accuracy                         0.9637      2177
   macro avg     0.9636    0.9623    0.9628      2177
weighted avg     0.9638    0.9637    0.9637      2177

2026-05-16 23:37:21,624 | INFO     | train | Cross-Validation (5 fold) ...
2026-05-17 00:24:29,915 | INFO     | train | CV Accuracy: 96.01% ± 0.58%
2026-05-17 00:24:29,927 | INFO     | train | Membuat grafik evaluasi ...
2026-05-17 00:24:31,244 | INFO     | train | Membuat WordCloud ...
2026-05-17 00:24:34,738 | INFO     | train | STEP 9: MENYIMPAN MODEL & ARTEFAK ...
2026-05-17 00:24:34,883 | INFO     | src.feature_engineering | FeatureBuilder disimpan → d:\freecodecamp\mbg_project\models\feature_builder.pkl
2026-05-17 00:24:35,178 | INFO     | train | Model disimpan -> d:\freecodecamp\mbg_project\models\xgboost_model.json
2026-05-17 00:24:35,556 | INFO     | train | Hasil disimpan -> d:\freecodecamp\mbg_project\output\hasil_sentimen_absa.csv
2026-05-17 00:24:35,556 | INFO     | train | STEP 10: MLFLOW LOGGING ...
2026-05-17 00:24:37,155 | INFO     | train | MLflow Run ID: 3041f48efcf94e03a564d117284c6a03
2026-05-17 00:24:37,762 | INFO     | train |   Artefak di-log: 1_eda.png
2026-05-17 00:24:37,769 | INFO     | train |   Artefak di-log: 2_label_distribution.png
2026-05-17 00:24:37,782 | INFO     | train |   Artefak di-log: 3_evaluasi.png
2026-05-17 00:24:37,789 | INFO     | train |   Artefak di-log: 5_wordcloud.png
2026-05-17 00:24:37,799 | INFO     | train |   Artefak di-log: xgboost_model.json
2026-05-17 00:24:37,814 | INFO     | train |   Artefak di-log: feature_builder.pkl
2026-05-17 00:24:37,823 | INFO     | train |   Artefak di-log: label_encoder.pkl
2026-05-17 00:24:37,828 | INFO     | train |   Artefak di-log: model_metadata.json
2026-05-17 00:24:37,837 | INFO     | train |   Artefak di-log: hasil_sentimen_absa.csv
2026-05-17 00:25:30,969 | INFO     | train |   Model di-log ke MLflow Model Registry
